id,timestamp,symbol,signal_input,raw_output,final_signal,override_reason,execution_result
1,2026-08-30T20:14:22.390568+00:00,BTC-USD,"{""symbol"":""BTC-USD"",""asset_class"":""crypto"",""current_price"":78869.4688,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":72.66,""sma_20"":71062.9795,""sma_50"":67016.6,""price_change_24h_pct"":1.3352,""volume_change_24h_pct"":-61.3292},""recent_headlines"":[""Tom Lee Sees Ethereum at $6K if Bitcoin Reaches $150K"",""Weekly Wrap: Bitcoin Holds Onto Gains"",""Capital B Raises €21 Million to Expand Bitcoin Holdings"",""Investors In Trump Crypto Ventures Are $4.7 Billion Underwater: Report"",""Brazil’s Central Bank To Implement Crypto Monitoring System"",""IREN’s Stock Drops 6% As Financial Results Disappoint""]}","{""symbol"":""BTC-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI at 72.66 indicates overbought conditions, while 24h trading volume has declined significantly (-61.33%), signaling a divergence between price and momentum. Per rules, buying into momentum without volume confirmation presents high risk of exhaustion. Defaulting to hold.""}","{""symbol"":""BTC-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI at 72.66 indicates overbought conditions, while 24h trading volume has declined significantly (-61.33%), signaling a divergence between price and momentum. Per rules, buying into momentum without volume confirmation presents high risk of exhaustion. Defaulting to hold."",""override_reason"":null,""raw_action"":""hold""}",,
2,2026-08-30T20:14:28.270696+00:00,ETH-USD,"{""symbol"":""ETH-USD"",""asset_class"":""crypto"",""current_price"":2504.5,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":72.83,""sma_20"":2192.4416,""sma_50"":2005.6946,""price_change_24h_pct"":2.5369,""volume_change_24h_pct"":-47.338},""recent_headlines"":[""ETHB Emerges as a Favorite Among Ethereum ETFs"",""Tom Lee Sees Ethereum at $6K if Bitcoin Reaches $150K"",""Weekly Wrap: Bitcoin Holds Onto Gains"",""Will The XRP Price Break $2?"",""Charles Schwab Adds Solana, Avalanche, Chainlink to Crypto Platform"",""Majority Of Americans Oppose Crypto In Retirement Plans""]}","{""symbol"":""ETH-USD"",""action"":""hold"",""confidence"":0.7,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""ETH-USD is in overbought territory with an RSI(14) of 72.83 and price well above its 20-day and 50-day SMAs. However, the recent 24h price gain (+2.54%) is accompanied by a severe volume drop (-47.34%), indicating weak buying conviction and potential momentum exhaustion. Per rules, momentum without volume confirmation is a weak signal. Risk/reward for a new long entry is unfavorable here.""}","{""symbol"":""ETH-USD"",""action"":""hold"",""confidence"":0.7,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""ETH-USD is in overbought territory with an RSI(14) of 72.83 and price well above its 20-day and 50-day SMAs. However, the recent 24h price gain (+2.54%) is accompanied by a severe volume drop (-47.34%), indicating weak buying conviction and potential momentum exhaustion. Per rules, momentum without volume confirmation is a weak signal. Risk/reward for a new long entry is unfavorable here."",""override_reason"":null,""raw_action"":""hold""}",,
3,2026-08-30T20:14:35.127948+00:00,SOL-USD,"{""symbol"":""SOL-USD"",""asset_class"":""crypto"",""current_price"":105.84,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":76.07,""sma_20"":87.7242,""sma_50"":80.1663,""price_change_24h_pct"":1.6451,""volume_change_24h_pct"":-62.8965},""recent_headlines"":[]}","{""symbol"":""SOL-USD"",""action"":""hold"",""confidence"":0.72,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is in overbought territory at 76.07, and price is significantly extended above the 20-day SMA (87.72) and 50-day SMA (80.17). Additionally, 24-hour trading volume dropped significantly by -62.90%, showing clear divergence and lack of volume confirmation for the upward trend. With no position to manage and weak volume support, holding is the prudent decision.""}","{""symbol"":""SOL-USD"",""action"":""hold"",""confidence"":0.72,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is in overbought territory at 76.07, and price is significantly extended above the 20-day SMA (87.72) and 50-day SMA (80.17). Additionally, 24-hour trading volume dropped significantly by -62.90%, showing clear divergence and lack of volume confirmation for the upward trend. With no position to manage and weak volume support, holding is the prudent decision."",""override_reason"":null,""raw_action"":""hold""}",,
4,2026-08-30T20:14:42.822336+00:00,AAPL,"{""symbol"":""AAPL"",""asset_class"":""equity"",""current_price"":319.7,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":57.48,""sma_20"":309.7942,""sma_50"":311.8112,""price_change_24h_pct"":1.6276,""volume_change_24h_pct"":19.0955},""recent_headlines"":[""Apple's big handoff and a jobs report: What to watch this week"",""Amazon Has Badly Underperformed the S&P 500 and Nasdaq-100 Since Jeff Bezos Stepped Down as CEO. Could Apple Do the Same Starting Sept. 1 When Tim Cook Steps Down?"",""Tim Cook Owns Crypto But Apple Never Bought Bitcoin: Will This Change?"",""Tim Cook Committed Apple to a $60 Billion Domestic Manufacturing Bet Just Weeks Before Handing Off the CEO Job. Here's What It Means for Apple Investors."",""Here's How Much You'd Have if You Invested $100 in Apple Stock in 2010"",""John Ternus Becomes Apple's CEO on Sept. 1. Here's What History Says the First Year Does to the Stock.""]}","{""symbol"":""AAPL"",""action"":""hold"",""confidence"":0.52,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""AAPL shows modest positive technical momentum, trading above its 20-day (309.79) and 50-day (311.81) SMAs with an RSI of 57.48 and a 19.1% uptick in volume. However, imminent leadership transition risk (Tim Cook stepping down as CEO on Sept 1) creates heightened structural uncertainty. Due to potential volatility around the CEO handoff, remaining on the sidelines is prudent.""}","{""symbol"":""AAPL"",""action"":""hold"",""confidence"":0.52,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""AAPL shows modest positive technical momentum, trading above its 20-day (309.79) and 50-day (311.81) SMAs with an RSI of 57.48 and a 19.1% uptick in volume. However, imminent leadership transition risk (Tim Cook stepping down as CEO on Sept 1) creates heightened structural uncertainty. Due to potential volatility around the CEO handoff, remaining on the sidelines is prudent."",""override_reason"":null,""raw_action"":""hold""}",,
5,2026-08-30T20:14:49.554721+00:00,NVDA,"{""symbol"":""NVDA"",""asset_class"":""equity"",""current_price"":217.55,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":52.34,""sma_20"":218.0475,""sma_50"":208.42,""price_change_24h_pct"":-4.575,""volume_change_24h_pct"":-34.9012},""recent_headlines"":[""What Happens When You Invest in the Stock Market at the Worst Possible Time? History Has Reassuring News for Investors."",""3 Simple ETFs Worth Buying and Holding for Decades"",""Jobs, Broadcom, Dell, Hewlett, Planet Labs, and More to Watch This Week"",""Not Nvidia. Not AMD. This Semiconductor Giant Will Be the Ultimate Winner of the Artificial Intelligence (AI) Hardware Race."",""Michael Burry sends another Nvidia stock verdict to investors"",""Viking Therapeutics Stock Is Down 66% From Its Peak. Here's What Comes Next.""]}","{""symbol"":""NVDA"",""action"":""hold"",""confidence"":0.5,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""Price dropped 4.57% on lower volume (-34.9%) and is currently testing the 20-day SMA (218.05) with a neutral RSI of 52.34. The medium-term trend remains intact above the 50-day SMA (208.42), but recent headlines lack a definitive positive catalyst to justify a long entry. With conflicting momentum and lack of volume confirmation, the risk/reward is unfavorable for a new position.""}","{""symbol"":""NVDA"",""action"":""hold"",""confidence"":0.5,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""Price dropped 4.57% on lower volume (-34.9%) and is currently testing the 20-day SMA (218.05) with a neutral RSI of 52.34. The medium-term trend remains intact above the 50-day SMA (208.42), but recent headlines lack a definitive positive catalyst to justify a long entry. With conflicting momentum and lack of volume confirmation, the risk/reward is unfavorable for a new position."",""override_reason"":null,""raw_action"":""hold""}",,
6,2026-08-30T20:21:32.176509+00:00,ETH-USD,"{""symbol"":""ETH-USD"",""asset_class"":""crypto"",""current_price"":2505.25,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":72.86,""sma_20"":2192.4791,""sma_50"":2005.7096,""price_change_24h_pct"":2.5676,""volume_change_24h_pct"":-47.161},""recent_headlines"":[""ETHB Emerges as a Favorite Among Ethereum ETFs"",""Tom Lee Sees Ethereum at $6K if Bitcoin Reaches $150K"",""Weekly Wrap: Bitcoin Holds Onto Gains"",""Will The XRP Price Break $2?"",""Charles Schwab Adds Solana, Avalanche, Chainlink to Crypto Platform"",""Majority Of Americans Oppose Crypto In Retirement Plans""]}","{""symbol"":""ETH-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is in overbought territory at 72.86 while 24h volume has decreased significantly (-47.16%) despite a minor price increase (+2.57%). This divergence between price movement and volume indicates weakening buying momentum. Per strategy rules, unconfirmed momentum calls for staying on the sidelines.""}","{""symbol"":""ETH-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is in overbought territory at 72.86 while 24h volume has decreased significantly (-47.16%) despite a minor price increase (+2.57%). This divergence between price movement and volume indicates weakening buying momentum. Per strategy rules, unconfirmed momentum calls for staying on the sidelines."",""override_reason"":null,""raw_action"":""hold""}",,
7,2026-08-30T20:21:37.441395+00:00,SOL-USD,"{""symbol"":""SOL-USD"",""asset_class"":""crypto"",""current_price"":105.69,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":75.97,""sma_20"":87.7167,""sma_50"":80.1633,""price_change_24h_pct"":1.5011,""volume_change_24h_pct"":-62.7949},""recent_headlines"":[]}","{""symbol"":""SOL-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is elevated at 75.97, indicating overbought conditions. Additionally, 24h volume has fallen sharply by -62.79%, showing a divergence between price and volume conviction. Following momentum without volume confirmation presents unfavorable risk/reward, making hold the appropriate action.""}","{""symbol"":""SOL-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is elevated at 75.97, indicating overbought conditions. Additionally, 24h volume has fallen sharply by -62.79%, showing a divergence between price and volume conviction. Following momentum without volume confirmation presents unfavorable risk/reward, making hold the appropriate action."",""override_reason"":null,""raw_action"":""hold""}",,
8,2026-08-30T20:36:00.396110+00:00,BTC-USD,"{""symbol"":""BTC-USD"",""asset_class"":""crypto"",""current_price"":78807.2266,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":72.56,""sma_20"":71059.8674,""sma_50"":67015.3552,""price_change_24h_pct"":1.2552,""volume_change_24h_pct"":-61.4489},""recent_headlines"":[""Tom Lee Sees Ethereum at $6K if Bitcoin Reaches $150K"",""Weekly Wrap: Bitcoin Holds Onto Gains"",""Capital B Raises €21 Million to Expand Bitcoin Holdings"",""Investors In Trump Crypto Ventures Are $4.7 Billion Underwater: Report"",""Brazil’s Central Bank To Implement Crypto Monitoring System"",""IREN’s Stock Drops 6% As Financial Results Disappoint""]}","{""symbol"":""BTC-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI 14 is in overbought territory at 72.56 and 24h trading volume has dropped drastically by 61.45% despite a mild price gain (+1.26%). While overall trend structure remains bullish above SMA 20 and SMA 50, buying into overbought conditions with sharply declining volume indicates momentum exhaustion and low risk-reward entry.""}","{""symbol"":""BTC-USD"",""action"":""hold"",""confidence"":0.65,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI 14 is in overbought territory at 72.56 and 24h trading volume has dropped drastically by 61.45% despite a mild price gain (+1.26%). While overall trend structure remains bullish above SMA 20 and SMA 50, buying into overbought conditions with sharply declining volume indicates momentum exhaustion and low risk-reward entry."",""override_reason"":null,""raw_action"":""hold""}",,
9,2026-08-30T20:36:05.826159+00:00,ETH-USD,"{""symbol"":""ETH-USD"",""asset_class"":""crypto"",""current_price"":2501.49,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":72.72,""sma_20"":2192.2911,""sma_50"":2005.6344,""price_change_24h_pct"":2.4136,""volume_change_24h_pct"":-46.9341},""recent_headlines"":[""ETHB Emerges as a Favorite Among Ethereum ETFs"",""Tom Lee Sees Ethereum at $6K if Bitcoin Reaches $150K"",""Weekly Wrap: Bitcoin Holds Onto Gains"",""Will The XRP Price Break $2?"",""Charles Schwab Adds Solana, Avalanche, Chainlink to Crypto Platform"",""Majority Of Americans Oppose Crypto In Retirement Plans""]}","{""symbol"":""ETH-USD"",""action"":""hold"",""confidence"":0.68,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI at 72.72 indicates overbought conditions. Although price increased 2.41% in the last 24h, volume plummeted by 46.93%, showing a classic volume divergence and weak buyer conviction at current levels. Holding is advised until a pull-back or strong volume-backed breakout occurs.""}","{""symbol"":""ETH-USD"",""action"":""hold"",""confidence"":0.68,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI at 72.72 indicates overbought conditions. Although price increased 2.41% in the last 24h, volume plummeted by 46.93%, showing a classic volume divergence and weak buyer conviction at current levels. Holding is advised until a pull-back or strong volume-backed breakout occurs."",""override_reason"":null,""raw_action"":""hold""}",,
10,2026-08-30T20:36:12.344698+00:00,SOL-USD,"{""symbol"":""SOL-USD"",""asset_class"":""crypto"",""current_price"":105.25,""account_equity_usd"":100.0,""existing_position"":null,""technical_indicators"":{""rsi_14"":75.67,""sma_20"":87.6947,""sma_50"":80.1545,""price_change_24h_pct"":1.0785,""volume_change_24h_pct"":-62.5034},""recent_headlines"":[]}","{""symbol"":""SOL-USD"",""action"":""hold"",""confidence"":0.72,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is in overbought territory (75.67) while 24h trading volume has sharply declined by 62.50%. This volume divergence indicates momentum exhaustion at current price levels above SMA_20 and SMA_50. Without volume confirmation or fresh catalyst headlines, opening a long position carries high risk of a pullback.""}","{""symbol"":""SOL-USD"",""action"":""hold"",""confidence"":0.72,""position_size_pct"":0.0,""stop_loss_price"":null,""take_profit_price"":null,""reasoning"":""RSI is in overbought territory (75.67) while 24h trading volume has sharply declined by 62.50%. This volume divergence indicates momentum exhaustion at current price levels above SMA_20 and SMA_50. Without volume confirmation or fresh catalyst headlines, opening a long position carries high risk of a pullback."",""override_reason"":null,""raw_action"":""hold""}",,
